afname zonder batterij;injectie zonder batterij;timestamp
0,020666667;0;25/05/2023 22:33
0,020666667;0;25/05/2023 22:38
0,021666667;0;25/05/2023 22:43
0,017666667;0;25/05/2023 22:48
0,017666667;0;25/05/2023 22:53
0,017666667;0;25/05/2023 22:58
0,017333333;0;25/05/2023 23:03
0,017333333;0;25/05/2023 23:08
0,017333333;0;25/05/2023 23:13
0,0175;0;25/05/2023 23:19
0,0165;0;25/05/2023 23:24
0,0165;0;25/05/2023 23:29
0,01975;0;25/05/2023 23:34
0,01875;0;25/05/2023 23:39
0,01875;0;25/05/2023 23:44
0,02275;0;25/05/2023 23:49
0,02275;0;25/05/2023 23:54
0,02275;0;25/05/2023 23:59
0,022083333;0;26/05/2023 0:04
0,022083333;0;26/05/2023 0:09
0,022083333;0;26/05/2023 0:15
0,0175;0;26/05/2023 0:20
0,0175;0;26/05/2023 0:25
0,0175;0;26/05/2023 0:30
0,01725;0;26/05/2023 0:35
0,01725;0;26/05/2023 0:40
0,01825;0;26/05/2023 0:45
0,01725;0;26/05/2023 0:50
0,01725;0;26/05/2023 0:55
0,01725;0;26/05/2023 1:00
0,023833333;0;26/05/2023 1:05
0,023833333;0;26/05/2023 1:10
0,023833333;0;26/05/2023 1:15
0,017083333;0;26/05/2023 1:21
0,017083333;0;26/05/2023 1:26
0,017083333;0;26/05/2023 1:31
0,017;0;26/05/2023 1:36
0,017;0;26/05/2023 1:41
0,017;0;26/05/2023 1:46
0,009833333;0;26/05/2023 1:51
0,009833333;0;26/05/2023 1:56
0,009833333;0;26/05/2023 2:01
0,0105;0;26/05/2023 2:06
0,0095;0;26/05/2023 2:11
0,0095;0;26/05/2023 2:16
0,00725;0;26/05/2023 2:21
0,00725;0;26/05/2023 2:26
0,00725;0;26/05/2023 2:32
0,014916667;0;26/05/2023 2:37
0,014916667;0;26/05/2023 2:42
0,014916667;0;26/05/2023 2:47
0,014916667;0;26/05/2023 2:52
0,014916667;0;26/05/2023 2:57
0,014916667;0;26/05/2023 3:02
0,008833333;0;26/05/2023 3:07
0,008833333;0;26/05/2023 3:12
0,008833333;0;26/05/2023 3:17
0,009666667;0;26/05/2023 3:22
0,009666667;0;26/05/2023 3:27
0,010666667;0;26/05/2023 3:33
0,00975;0;26/05/2023 3:38
0,00975;0;26/05/2023 3:43
0,00975;0;26/05/2023 3:48
0,0125;0;26/05/2023 3:53
0,0125;0;26/05/2023 3:58
0,0125;0;26/05/2023 4:03
0,015;0;26/05/2023 4:08
0,015;0;26/05/2023 4:13
0,015;0;26/05/2023 4:18
0,015;0;26/05/2023 4:23
0,015;0;26/05/2023 4:28
0,015;0;26/05/2023 4:33
0,009166667;0;26/05/2023 4:39
0,009166667;0;26/05/2023 4:44
0,009166667;0;26/05/2023 4:49
0,009083333;0;26/05/2023 4:54
0,009083333;0;26/05/2023 4:59
0,009083333;0;26/05/2023 5:04
0,009;0;26/05/2023 5:09
0,009;0;26/05/2023 5:14
0,009;0;26/05/2023 5:19
0,014416667;0;26/05/2023 5:24
0,015416667;0;26/05/2023 5:29
0,014416667;0;26/05/2023 5:34
0,01575;0;26/05/2023 5:39
0,01575;0;26/05/2023 5:44
0,01575;0;26/05/2023 5:49
0,01375;0;26/05/2023 5:54
0,01475;0;26/05/2023 5:59
0,01375;0;26/05/2023 6:04
0,009;0;26/05/2023 6:10
0,009;0;26/05/2023 6:15
0,01;0;26/05/2023 6:20
0,015416667;0;26/05/2023 6:25
0,015416667;0;26/05/2023 6:30
0,015416667;0;26/05/2023 6:35
0,009916667;0;26/05/2023 6:40
0,010916667;0;26/05/2023 6:45
0,009916667;0;26/05/2023 6:50
0,014666667;0;26/05/2023 6:55
0,025666667;0,003;26/05/2023 7:00
0,020666667;0,003;26/05/2023 7:05
0,011833333;0;26/05/2023 7:10
0,012833333;0;26/05/2023 7:15
0,011833333;0;26/05/2023 7:20
0,0075;0;26/05/2023 7:25
0,0065;0;26/05/2023 7:31
0,0055;0;26/05/2023 7:36
0,008666667;0;26/05/2023 7:41
0,008666667;0;26/05/2023 7:46
0,008666667;0;26/05/2023 7:51
0,060666667;0;26/05/2023 7:56
0,132666667;0;26/05/2023 8:01
0,113666667;0,003;26/05/2023 8:06
0,06975;0,009;26/05/2023 8:11
0,03475;0,003;26/05/2023 8:16
0,00975;0,001;26/05/2023 8:21
0,08325;0,001;26/05/2023 8:26
0,08425;0,002;26/05/2023 8:31
0,08425;0;26/05/2023 8:37
0,002;0,002;26/05/2023 8:42
0;0,001;26/05/2023 8:47
0;0,011;26/05/2023 8:52
0,001;0,028;26/05/2023 8:57
0;0,038;26/05/2023 9:02
0;0,04;26/05/2023 9:07
0;0,100666667;26/05/2023 9:12
0;0,116666667;26/05/2023 9:17
0;0,120666667;26/05/2023 9:22
0;0,089333333;26/05/2023 9:27
0;0,112333333;26/05/2023 9:32
0;0,128333333;26/05/2023 9:38
0;0,125916667;26/05/2023 9:43
0;0,122916667;26/05/2023 9:48
0;0,128916667;26/05/2023 9:53
0;0,132166667;26/05/2023 9:58
0;0,147166667;26/05/2023 10:03
0;0,150166667;26/05/2023 10:08
0;0,154;26/05/2023 10:13
0;0,151;26/05/2023 10:18
0;0,154;26/05/2023 10:23
0;0,148416667;26/05/2023 10:28
0;0,154416667;26/05/2023 10:33
0;0,157416667;26/05/2023 10:38
0;0,172333333;26/05/2023 10:43
0;0,180333333;26/05/2023 10:48
0;0,186333333;26/05/2023 10:53
0;0,191333333;26/05/2023 10:59
0;0,191333333;26/05/2023 11:04
0;0,193333333;26/05/2023 11:09
0;0,198166667;26/05/2023 11:14
0;0,195166667;26/05/2023 11:19
0;0,198166667;26/05/2023 11:24
0;0,205166667;26/05/2023 11:29
0;0,205166667;26/05/2023 11:34
0;0,200166667;26/05/2023 11:39
0;0,20625;26/05/2023 11:44
0;0,20625;26/05/2023 11:49
0;0,21225;26/05/2023 11:55
0;0,245333333;26/05/2023 12:00
0;0,286333333;26/05/2023 12:05
0;0,290333333;26/05/2023 12:10
0;0,21125;26/05/2023 12:15
0;0,23125;26/05/2023 12:20
0;0,22925;26/05/2023 12:25
0;0,223;26/05/2023 12:30
0;0,228;26/05/2023 12:35
0;0,23;26/05/2023 12:40
0;0,227;26/05/2023 12:45
0;0,225;26/05/2023 12:50
0;0,224;26/05/2023 12:55
0;0,225;26/05/2023 13:00
0;0,224;26/05/2023 13:06
0;0,222;26/05/2023 13:11
0;0,226;26/05/2023 13:16
0;0,229;26/05/2023 13:21
0;0,228;26/05/2023 13:26
0;0,229;26/05/2023 13:31
0;0,23;26/05/2023 13:36
0;0,23;26/05/2023 13:41
0;0,225;26/05/2023 13:46
0;0,232;26/05/2023 13:51
0;0,229;26/05/2023 13:56
0;0,233;26/05/2023 14:01
0;0,227;26/05/2023 14:07
0;0,23;26/05/2023 14:12
0;0,216;26/05/2023 14:17
0;0,22;26/05/2023 14:22
0;0,219;26/05/2023 14:27
0;0,218;26/05/2023 14:32
0;0,213;26/05/2023 14:37
0;0,204;26/05/2023 14:42
0;0,21;26/05/2023 14:47
0;0,216;26/05/2023 14:52
0,001;0,082;26/05/2023 14:57
0;0,117;26/05/2023 15:02
0;0,21;26/05/2023 15:07
0;0,213;26/05/2023 15:12
0;0,208;26/05/2023 15:17
0;0,205;26/05/2023 15:23
0;0,205;26/05/2023 15:28
0;0,198;26/05/2023 15:33
0;0,195;26/05/2023 15:38
0;0,188;26/05/2023 15:43
0;0,189;26/05/2023 15:48
0;0,186;26/05/2023 15:53
0;0,185;26/05/2023 15:58
0;0,18;26/05/2023 16:03
0;0,171;26/05/2023 16:08
0;0,172;26/05/2023 16:13
0;0,165;26/05/2023 16:18
0;0,161;26/05/2023 16:23
0;0,167;26/05/2023 16:28
0;0,165;26/05/2023 16:34
0;0,113;26/05/2023 16:39
0;0,075;26/05/2023 16:44
0;0,07;26/05/2023 16:49
0;0,071;26/05/2023 16:54
0;0,067;26/05/2023 16:59
0;0,072;26/05/2023 17:04
0,042;0,082833333;26/05/2023 17:09
0,048;0,067833333;26/05/2023 17:14
0,04;0,081833333;26/05/2023 17:19
0,002;0,0015;26/05/2023 17:24
0,021;0,0035;26/05/2023 17:29
0,002;0,0005;26/05/2023 17:34
0,05875;0;26/05/2023 17:39
0,05375;0;26/05/2023 17:45
0,04575;0;26/05/2023 17:50
0,023083333;0,002;26/05/2023 17:55
0,027083333;0,001;26/05/2023 18:00
0,024083333;0,001;26/05/2023 18:05
0,00675;0,006;26/05/2023 18:10
0,00675;0,002;26/05/2023 18:15
0,07075;0;26/05/2023 18:20
0,116333333;0;26/05/2023 18:25
0,065333333;0;26/05/2023 18:30
0,048333333;0,004;26/05/2023 18:35
0,15925;0;26/05/2023 18:40
0,18425;0;26/05/2023 18:45
0,13925;0,004;26/05/2023 18:51
0,113166667;0;26/05/2023 18:56
0,182166667;0;26/05/2023 19:01
0,156166667;0,004;26/05/2023 19:06
0,138166667;0,002;26/05/2023 19:11
0,179166667;0;26/05/2023 19:16
0,158166667;0,002;26/05/2023 19:21
0,018666667;0,004;26/05/2023 19:26
0,003666667;0;26/05/2023 19:31
0,003666667;0;26/05/2023 19:36
0,001;0;26/05/2023 19:41
0;0;26/05/2023 19:46
0,005;0,003;26/05/2023 19:51
0,012416667;0;26/05/2023 19:56
0,011416667;0;26/05/2023 20:01
0,011416667;0;26/05/2023 20:06
0,0175;0,003;26/05/2023 20:11
0,0105;0,003;26/05/2023 20:16
0,0155;0,003;26/05/2023 20:22
0,100166667;0,003;26/05/2023 20:27
0,093166667;0,002;26/05/2023 20:32
0,084166667;0;26/05/2023 20:37
0,01925;0;26/05/2023 20:42
0,02525;0,005;26/05/2023 20:47
0,02025;0;26/05/2023 20:52
0,017166667;0;26/05/2023 20:57
0,017166667;0;26/05/2023 21:02
0,018166667;0;26/05/2023 21:07
0,0155;0;26/05/2023 21:12
0,0155;0;26/05/2023 21:17
0,0165;0;26/05/2023 21:22
0,017;0;26/05/2023 21:27
0,017;0;26/05/2023 21:32
0,018;0;26/05/2023 21:37
0,025416667;0;26/05/2023 21:42
0,025416667;0;26/05/2023 21:48
0,025416667;0;26/05/2023 21:53
0,031166667;0,001;26/05/2023 21:58
0,025166667;0;26/05/2023 22:03
0,025166667;0;26/05/2023 22:08
0,020583333;0;26/05/2023 22:13
0,019583333;0;26/05/2023 22:18
0,019583333;0;26/05/2023 22:23
0,0165;0;26/05/2023 22:28
0,0175;0;26/05/2023 22:33
0,0165;0;26/05/2023 22:38
0,017166667;0;26/05/2023 22:43
0,018166667;0;26/05/2023 22:48
0,017166667;0;26/05/2023 22:53
0,02275;0;26/05/2023 22:59
0,02375;0;26/05/2023 23:04
0,02275;0;26/05/2023 23:09
0,0215;0;26/05/2023 23:14
0,0215;0;26/05/2023 23:19
0,0215;0;26/05/2023 23:24
0,016083333;0;26/05/2023 23:29
0,016083333;0;26/05/2023 23:34
0,016083333;0;26/05/2023 23:39
0,017;0;26/05/2023 23:44
0,017;0;26/05/2023 23:49
0,017;0;26/05/2023 23:54
0,022166667;0;26/05/2023 23:59
0,023166667;0;27/05/2023 0:04
0,022166667;0;27/05/2023 0:09
0,016333333;0;27/05/2023 0:15
0,016333333;0;27/05/2023 0:20
0,016333333;0;27/05/2023 0:25
0,009583333;0;27/05/2023 0:30
0,009583333;0;27/05/2023 0:35
0,009583333;0;27/05/2023 0:40
0,008916667;0;27/05/2023 0:45
0,008916667;0;27/05/2023 0:50
0,008916667;0;27/05/2023 0:55
0,009;0;27/05/2023 1:00
0,009;0;27/05/2023 1:05
0,009;0;27/05/2023 1:10
0,016583333;0;27/05/2023 1:15
0,015583333;0;27/05/2023 1:20
0,015583333;0;27/05/2023 1:26
0,015166667;0;27/05/2023 1:31
0,015166667;0;27/05/2023 1:36
0,015166667;0;27/05/2023 1:41
0,00925;0;27/05/2023 1:46
0,00925;0;27/05/2023 1:51
0,00925;0;27/05/2023 1:56
0,010166667;0;27/05/2023 2:01
0,010166667;0;27/05/2023 2:06
0,010166667;0;27/05/2023 2:11
0,01025;0;27/05/2023 2:16
0,01025;0;27/05/2023 2:22
0,01125;0,003;27/05/2023 2:27
0,016;0;27/05/2023 2:32
0,016;0;27/05/2023 2:37
0,016;0;27/05/2023 2:42
0,015166667;0;27/05/2023 2:47
0,015166667;0;27/05/2023 2:52
0,015166667;0;27/05/2023 2:57
0,008416667;0;27/05/2023 3:02
0,008416667;0;27/05/2023 3:07
0,008416667;0;27/05/2023 3:12
0,007333333;0;27/05/2023 3:17
0,007333333;0;27/05/2023 3:23
0,007333333;0;27/05/2023 3:28
0,008916667;0;27/05/2023 3:33
0,008916667;0;27/05/2023 3:38
0,009916667;0;27/05/2023 3:43
0,01475;0;27/05/2023 3:48
0,01475;0;27/05/2023 3:53
0,01475;0;27/05/2023 3:58
0,01475;0;27/05/2023 4:04
0,01475;0;27/05/2023 4:09
0,01475;0;27/05/2023 4:14
0,009583333;0;27/05/2023 4:19
0,009583333;0;27/05/2023 4:24
0,009583333;0;27/05/2023 4:29
0,01;0;27/05/2023 4:34
0,01;0;27/05/2023 4:39
0,01;0;27/05/2023 4:44
0,0095;0;27/05/2023 4:49
0,0105;0;27/05/2023 4:54
0,0095;0;27/05/2023 5:00
0,015;0;27/05/2023 5:05
0,015;0;27/05/2023 5:10
0,015;0;27/05/2023 5:15
0,016083333;0;27/05/2023 5:20
0,015083333;0;27/05/2023 5:25
0,015083333;0;27/05/2023 5:30
0,008916667;0;27/05/2023 5:35
0,008916667;0;27/05/2023 5:40
0,008916667;0;27/05/2023 5:45
0,0085;0;27/05/2023 5:50
0,0085;0;27/05/2023 5:55
0,0085;0;27/05/2023 6:00
0,007583333;0;27/05/2023 6:05
0,007583333;0;27/05/2023 6:10
0,007583333;0;27/05/2023 6:15
0,011916667;0;27/05/2023 6:21
0,011916667;0;27/05/2023 6:26
0,011916667;0;27/05/2023 6:31
0,00875;0,001;27/05/2023 6:36
0,00875;0;27/05/2023 6:41
0,00875;0;27/05/2023 6:46
0,003583333;0;27/05/2023 6:51
