afname zonder bat;injectie zonder bat;timestamp
0,25625;0,00000;9/05/2023 21:49
0,26025;0,00000;9/05/2023 21:54
0,25725;0,00000;9/05/2023 21:59
0,25025;0,00000;9/05/2023 22:04
0,25425;0,00000;9/05/2023 22:09
0,25525;0,00000;9/05/2023 22:14
0,25425;0,00000;9/05/2023 22:19
0,24925;0,00000;9/05/2023 22:24
0,24725;0,00000;9/05/2023 22:29
0,24633;0,00000;9/05/2023 22:34
0,24433;0,00000;9/05/2023 22:39
0,24633;0,00000;9/05/2023 22:44
0,24317;0,00000;9/05/2023 22:49
0,24217;0,00000;9/05/2023 22:54
0,24217;0,00000;9/05/2023 22:59
0,24208;0,00000;9/05/2023 23:04
0,24708;0,00000;9/05/2023 23:09
0,25908;0,00000;9/05/2023 23:14
0,23100;0,00000;9/05/2023 23:19
0,23100;0,00000;9/05/2023 23:24
0,23200;0,00000;9/05/2023 23:29
0,23200;0,00000;9/05/2023 23:34
0,23000;0,00000;9/05/2023 23:39
0,23200;0,00000;9/05/2023 23:44
0,23100;0,00000;9/05/2023 23:49
0,22900;0,00000;9/05/2023 23:54
0,22900;0,00000;9/05/2023 23:59
