"Time","afname","injectie","batterij","voertuig","prijs"
"Wed May 24 20:11:00 CEST 2023","0.0","0.0","3.9321668","30.0","120.65"
"Wed May 24 20:16:00 CEST 2023","0.0","0.0","3.9160836","30.0","120.65"
"Wed May 24 20:21:00 CEST 2023","0.0","0.0","3.9010003","30.0","120.65"
"Wed May 24 20:26:00 CEST 2023","0.0","0.0","3.8820837","30.0","120.65"
"Wed May 24 20:31:00 CEST 2023","0.0","0.0","3.864167","30.0","120.65"
"Wed May 24 20:36:00 CEST 2023","0.0","0.0","3.8462503","30.0","120.65"
"Wed May 24 20:41:00 CEST 2023","0.0","0.0","3.825417","30.0","120.65"
"Wed May 24 20:46:00 CEST 2023","0.0","0.0","3.8045838","30.0","120.65"
"Wed May 24 20:51:00 CEST 2023","0.0","0.0","3.7837505","30.0","120.65"
"Wed May 24 20:56:00 CEST 2023","0.0","0.0","3.7687504","30.0","120.65"
"Wed May 24 21:01:00 CEST 2023","0.0","0.0","3.7527504","30.0","109.4"
"Wed May 24 21:06:00 CEST 2023","0.0","0.0","3.7377503","30.0","109.4"
"Wed May 24 21:11:00 CEST 2023","0.0","0.0","3.7205837","30.0","109.4"
"Wed May 24 21:16:00 CEST 2023","0.0","0.0","3.703417","30.0","109.4"
"Wed May 24 21:21:00 CEST 2023","0.0","0.0","3.6852503","30.0","109.4"
"Wed May 24 21:26:00 CEST 2023","0.0","0.0","3.6675003","30.0","109.4"
"Wed May 24 21:31:00 CEST 2023","0.0","0.001","3.6447504","30.0","109.4"
"Wed May 24 21:36:00 CEST 2023","0.0","0.0","3.6270003","30.0","109.4"
"Wed May 24 21:42:00 CEST 2023","0.0","0.0","3.6018336","30.0","109.4"
"Wed May 24 21:47:00 CEST 2023","0.0","0.0","3.575667","30.0","109.4"
"Wed May 24 21:52:00 CEST 2023","0.0","0.001","3.5465002","30.0","109.4"
"Wed May 24 21:57:00 CEST 2023","0.0","0.0","3.51675","30.0","109.4"
"Wed May 24 22:02:00 CEST 2023","0.0","0.0","3.487","30.0","107.06"
"Wed May 24 22:07:00 CEST 2023","0.0","0.0","3.45625","30.0","107.06"
"Wed May 24 22:12:00 CEST 2023","0.0","0.0","3.43875","30.0","107.06"
"Wed May 24 22:17:00 CEST 2023","0.0","0.0","3.42125","30.0","107.06"
"Wed May 24 22:22:00 CEST 2023","0.0","0.0","3.4037502","30.0","107.06"
"Wed May 24 22:28:00 CEST 2023","0.0","0.0","3.3783336","30.0","107.06"
"Wed May 24 22:33:00 CEST 2023","0.0","0.0","3.353917","30.0","107.06"
"Wed May 24 22:38:00 CEST 2023","0.0","0.0","3.3295002","30.0","107.06"
"Wed May 24 22:43:00 CEST 2023","0.0","0.0","3.306167","30.0","107.06"
"Wed May 24 22:48:00 CEST 2023","0.0","0.0","3.2828336","30.0","107.06"
"Wed May 24 22:53:00 CEST 2023","0.0","0.0","3.2585003","30.0","107.06"
"Wed May 24 22:58:00 CEST 2023","0.0","0.0","3.2400002","30.0","107.06"
"Wed May 24 23:03:00 CEST 2023","0.0","0.0","3.2215002","30.0","100.22"
"Wed May 24 23:08:00 CEST 2023","0.0","0.0","3.203","30.0","100.22"
"Wed May 24 23:13:00 CEST 2023","0.0","0.0","3.1841667","30.0","100.22"
"Wed May 24 23:18:00 CEST 2023","0.0","0.0","3.1643333","30.0","100.22"
"Wed May 24 23:23:00 CEST 2023","0.0","0.0","3.1455","30.0","100.22"
"Wed May 24 23:28:00 CEST 2023","0.0","0.0","3.1275833","30.0","100.22"
"Wed May 24 23:33:00 CEST 2023","0.0","0.0","3.1096666","30.0","100.22"
"Wed May 24 23:38:00 CEST 2023","0.0","0.0","3.09075","30.0","100.22"
"Wed May 24 23:43:00 CEST 2023","0.0","0.0","3.0664167","30.0","100.22"
"Wed May 24 23:48:00 CEST 2023","0.0","0.0","3.0420835","30.0","100.22"
"Wed May 24 23:53:00 CEST 2023","0.0","0.0","3.0177503","30.0","100.22"
"Wed May 24 23:58:00 CEST 2023","0.0","0.0","2.9947503","30.0","100.22"
"Thu May 25 00:04:00 CEST 2023","0.28966665","0.0","2.911417","30.35","100.1"
"Thu May 25 00:09:00 CEST 2023","0.28966665","0.0","2.8280838","30.7","100.1"
"Thu May 25 00:14:00 CEST 2023","0.28425","0.0","2.7447505","31.050001","100.1"
"Thu May 25 00:19:00 CEST 2023","0.28324997","0.0","2.6614172","31.400002","100.1"
"Thu May 25 00:24:00 CEST 2023","0.28324997","0.0","2.578084","31.750002","100.1"
"Thu May 25 00:29:00 CEST 2023","0.2848333","0.0","2.4947507","32.100002","100.1"
"Thu May 25 00:34:00 CEST 2023","0.2848333","0.0","2.4114175","32.45","100.1"
"Thu May 25 00:39:00 CEST 2023","0.2848333","0.0","2.3280842","32.8","100.1"
"Thu May 25 00:44:00 CEST 2023","0.28474998","0.0","2.244751","33.149998","100.1"
